corpora,record,phrase,PQP,auxiliary,verb,note,marker,marker,marker group,pause before,pause between,restart/repaet
PFC,29,"Vous avez passé: un peu de temps en Métropole euh, vous m'aviez dit toute à l'heure,",vous m'aviez dit toute à l'heure,avoir,dire,0,1,toute à l'heure,before,1,0,0
ESLO,176,c'est euh c'est ce que je vous avais expliqué tout à l'heure,je vous avais expliqué tout à l'heure,avoir,expliquer,0,1,tout à l'heure,before,0,0,0
ESLO,189,mais vous aviez dit tout à l'heure que,vous aviez dit tout à l'heure,avoir,dire,0,1,tout à l'heure,before,0,0,0
ESLO,310,vous avez dit tout à l'heure que vous l'aviez acheté pour votre fille enfin ?,vous avez dit tout à l'heure,avoir,dire,0,1,tout à l'heure,before,0,0,0
ESLO,402,euh tout à l'heure tu m'avais dit que tu faisais euh infirmière ?,tout à l'heure tu m'avais dit,avoir,dire,0,1,tout à l'heure,before,1,0,0
ESLO,176,elle avait toujours rêvé de de monter une comédie musicale donc elle l'a montée,elle avait toujours rêvé,avoir,rêver,0,1,toujours,always,0,0,0
ESLO,201,alors euh moi j'avais toujours entendu dire que Tours c'était plus sympa,j'avais toujours entendu,avoir,entendre,0,1,toujours,always,1,0,0
ESLO,226,parce que vous vous aviez toujours vécu euh ?,vous vous aviez toujours vécu,avoir,vivre,0,1,toujours,always,0,0,0
ESLO,543,vous aviez toujours vécu à Strasbourg ?,vous aviez toujours vécu,avoir,vivre,0,1,toujours,always,0,0,0
PFC,66,Sur la fin quand même on l'avait appris maintenant on l'a perdu parce que.,sur la fin on l'avait appris,avoir,apprendre,0,1,sur la fin,finally,0,0,0
CFPP,42,et euh on nous f- on nous fait additionner euh par exemple moi je me rappelle ces exemples c'était on nous faisait additionner par exemple deux douze fois donc ça faisait deux plus deux plus deux plus deux et ma mère elle m'avait appris euh quelques temps avant mes tables de multiplication donc là j'étais tout content j'ai j'ai marqué ma multiplication et vraiment ça c'est un souvenir que je garderai toute ma vie,elle m'avait appris quelques temps avant,avoir,apprendre,0,1,quelques temps avant,before,0,0,0
ESLO,310,vous vous souvenez pas jusqu'à quelle époque il avait été à la guerre ?,quelle époque il avait été,avoir,être,0,1,quelle époque,during,0,0,0
CFPP,15,précaires précaires précaires dans la précarité euh bon donc j'avais été relogée ici entre temps mon il y a eu des différents familiaux c'est assez graves puisque mon mari s'était mis enfin mon le père de mon fils s'est mis à boire donc ça veut dire que il y a eu séparation et je peux dire que moi j'ai un fils qui est né dans le chômage et qui a vécu dans le chômage et dans le RMI avec un parcours,puisque mon mari s'était mis,être,se mettre,0,1,puisque,since,0,0,0
ESLO,488,en fait j'avais entendu cette consonance et puis je l'avais répétée très longtemps et puis,puis je l'avais répétée très longtemps,avoir,répéter,0,1,puis,later,0,0,0
PFC,19,"Puis après on était repartis en, (pause) tous les deux en avion.",puis après on était repartis,être,repartir,0,1,puis,later,0,0,0
PFC,19,"Quand j'étais en diesel, j'étais un des plus vieux, parce que euh, j'avais, euh, déjà d'une, j'avais redoublé, puis en plus j'avais fait deux B.E.P..",j'avais redoublé puis,avoir,redoubler,0,1,puis,later,1,0,1
PFC,66,"le travail parce que elle y a été que trois mois et puis elle avait reçu son, son CAP ou je sais pas quoi à l'époque.",puis elle avait reçu,avoir,recevoir,0,1,puis,later,0,0,0
CFPP,29,euh donc on a été un petit peu sur l'avenue d'Italie et je savais que mon bar était euh alors je savais qu'une fois j'y avais été en allant à Montparnasse puis j'avais pris la ligne 13 si j'ai bien métro Pernetty oui c'est ça donc en gros je savais que c'était vers la gauche de euh de l'avenue d'Italie donc au bout d'un moment pas trop longtemps on a pris à gauche en me disant que euh en me repérant par rapport à la Tour Montparnasse en allant à gauche je finirai pas trouver la ligne 13 mais c'était un petit bout en fait beaucoup plus loin que ce que j'avais prévu on a marché on a marché on a marché euh donc on a été jusqu'au parc,puis j'avais pris,avoir,prendre,0,1,puis,later,0,0,0
CFPP,34,alors ils ont ils faisaient les poubelles évidemment et puis ils avaient construit des baraquements recouverts en tôle ondulée il y avait des petits pavillons qui étaient pas mal,puis ils avaient construit,avoir,construire,0,1,puis,later,0,0,0
CFPP,34,oui puis ç'avait été médiatisé ça c'était passé à la radio,puis ç'avait été,avoir,être,0,1,puis,later,0,0,0
CFPP,35,Corse en agriculture c'était bien il y avait du travail et tout et puis bon euh on m'avait dit qu'il y avait du travail euh,puis on m'avait dit,avoir,dire,0,1,puis,later,0,0,0
CFPP,42,à la fin tout le monde enfin surtout les jeunes en fait ils s'étaient mobilisés et puis ils avaient fait ils avaient cassé un peu tout partout aux alentours de la mairie et moi j'étais jeune j'étais assez jeune,puis ils avaient fait,avoir,faire,0,1,puis,later,0,0,0
CFPP,42,à la fin tout le monde enfin surtout les jeunes en fait ils s'étaient mobilisés et puis ils avaient fait ils avaient cassé un peu tout partout aux alentours de la mairie et moi j'étais jeune j'étais assez jeune,puis ils avaient cassé,avoir,casser,0,1,puis,later,0,0,0
ESLO,48,puis on avait pensé à ces sortes de discussions préparées,on avait pensé,avoir,penser,0,1,puis,later,0,0,0
ESLO,112,et puis c'était passé encore ça,puis c'était passé,être,passer,0,1,puis,later,0,0,0
ESLO,183,il avait trouv- enfin chez elle euh une glace qui avait été repeinte et puis alors il l'a complètement décapée euh il avait trouvé le dessous c'était encore de l'or enfin,puis il avait trouvé,avoir,trouver,0,1,puis,later,0,0,0
ESLO,231,alors non euh papa avait dit non et puis j'avais été voir Serge et je lui avais dit c'est non et puis c'est tout,puis j'avais été,avoir,être,0,1,puis,later,0,0,0
ESLO,309,et puis il l'avait bien repris,puis il l'avait bien repris,avoir,reprendre,0,1,puis,later,0,0,0
ESLO,309,puis ils avaient bah ramassé toutes les cerises et puis ils avaient,puis ils avaient ramassé,avoir,ramasser,0,1,puis,later,0,0,0
ESLO,309,euh les les tomates cerises et puis puis ils avaient cassé les pieds,puis ils avaient cassé,avoir,casser,0,1,puis,later,0,0,0
ESLO,415,et puis bon moi j'avais vu,puis j'avais vu,avoir,voir,0,1,puis,later,0,0,0
ESLO,437,et puis j'avais travaillé chez Simca alors c'était plus facile qu'on que j'en trouve une,puis j'avais travaillé,avoir,travailler,0,1,puis,later,0,0,0
ESLO,456,puis j'avais vécu à Paris aussi j- i- j'avais des expressions,puis j'avais vécu,avoir,vivre,0,1,puis,later,0,0,0
ESLO,476,et puis j'avais invité une amie à déjeuner avec moi,puis j'avais invité,avoir,inviter,0,1,puis,later,0,0,0
ESLO,528,puis moi j'avais pris une,puis moi j'avais pris,avoir,prendre,0,1,puis,later,0,0,0
PFC,66,"elle avait continué le métier tout en euh, elle avait juste commencé à apprendre avant. Enfin elle avait continué le métier puis euh.",enfin elle avait continué puis,avoir,continuer,0,1,puis,later,0,0,0
PFC,5,"Ah oui. C'est qu'il avait été bien déçu, il avait vécu pendant quelques années avec euh,",il avait vécu pendant quelques années,avoir,vivre,0,1,pendant quelques années,during,0,0,0
ESLO,508,il avait été pendant dix ans officier de légion,il avait été pendant dix ans,avoir,être,0,1,pendant dix ans,during,0,0,0
ESLO,488,en fait j'avais entendu cette consonance et puis je l'avais répétée très longtemps et puis,puis je l'avais répétée très longtemps,avoir,répéter,0,1,longtemps (très),during,0,0,0
CFPP,3,mais ça faisait très très longtemps que j'avais pas été au Parc Floral,ça faisait très très longtemps que j'avais pas été,avoir,être,0,1,longtemps (très très),during,0,0,0
ESLO,415,mais mon mari avait été longtemps permanent syndical,mon mari avait été longtemps,avoir,être,0,1,longtemps,during,0,0,0
ESLO,591,tu m'as dit que tu avais acheté des glaces la semaine dernière,tu avais acheté la semaine dernière,avoir,acheter,0,1,la semaine dernière,before,0,0,0
CFPP,35,et la première fois il m'avait dit ça et euh j'y j'y dis je constate que dans l'équipe il y en a ils sont pas rigoureux ils sont pas sérieux ils viennent jamais à l'heure ou alors ils viennent pas aux entraînements mais ils sont convoqués aux matchs,la première fois il m'avait dit,avoir,dire,0,1,la première fois,before,0,0,0
ESLO,201,puisque justement c'est vrai j'ai je te disais tout à l'heure j'avais été inter- la dernière fois que j'avais été interviewée,la dernière fois que j'avais été interviewée,avoir,être interviewé,passive voice,1,la dernière fois,before,0,0,0
ESLO,267,non non non je savais pas du tout j'avais eu euh vous m'aviez posé déjà un tas de questions euh la dernière fois enfin pas vous mais un un monsieur qui était venu de très gentil d'ailleurs,vous m'aviez posé déjà la dernière fois,avoir,poser,0,1,la dernière fois,before,0,0,0
PFC,29,"inspiration non mais j' j'étais b' j' j' j'ai bien j' ris quand j'avais écouté Leïla l'autre jour qui parlait de transexuel (rires), gro:s et vieux L2} Ah oui oui oui oui, ah oui voilà oui, parce qu'elle aime pas les grosses quoi!",j'avais écouté l'autre jour,avoir,écouter,0,1,l'autre jour,before,0,0,0
ESLO,112,l'autre fois on l'avait repassé,l'autre fois on l'avait repassé,avoir,repasser,0,1,l'autre fois,before,0,0,0
CFPP,3,l'année dernière si on avait eu quelque chose,l'année dernière si on avait eu,avoir,avoir,0,1,l'année dernière,before,0,0,0
ESLO,183,j'ai appris des choses qui s'étaient passées l'année dernière au camp de pionniers de Benoît,des choses qui s'étaient passées l'année dernière,être,se passer,0,1,l'année dernière,before,0,0,0
ESLO,183,mais alors par contre au camp rangers l'année dernière y avait rien eu,l'année dernière y avait rien eu,avoir,avoir,0,1,l'année dernière,before,0,0,0
ESLO,183,l'année dernière il avait eu un mois de juillet calme,l'année dernière il avait eu,avoir,avoir,0,1,l'année dernière,before,0,0,0
CFPP,10,donc jusqu'à la enfin l'année dernière je les avais inscrits,enfin l'année dernière je les avais inscrits,avoir,inscrire,0,1,l'année dernière,before,0,0,0
CFPP,13,un évènement pareil ah non j'en avais jamais vécu avant,j'en avais jamais vécu avant,avoir,vivre,0,1,jamais,never,0,0,0
ESLO,456,et en fait je n'y avais jamais pensé avant parce que on,je n'y avais jamais pensé avant,avoir,penser,0,1,jamais,never,0,0,0
PFC,30,"Nous on n'avait jamais travaillé parce que, ils voulaient être plus vite débarrassés d'autres bon ben.",on n'avait jamais travaillé,avoir,travailler,0,1,jamais,never,0,0,0
PFC,38,"Maman avait jamais coupé les cheveux ni, ni rasé parce qu'à l'époque les, les, les, les, les papis, euh, enfin les, les hommes ils se, ils avaient pas de rasoirs électriques ni mécaniques, ou très peu, donc ils venaient se faire raser.",Maman avait jamais coupé,avoir,couper,0,1,jamais,never,0,0,0
PFC,38,"Mais, euh, bon c'est sûr que je l'ai quand même souvent entendue dire, euh, qu'elle avait jamais pensé que ça aurait duré cinq ans hein.",elle avait jamais pensé,avoir,penser,0,1,jamais,never,0,0,0
PFC,51,"Moi j'ai une copine éthiopienne qui était allé là-bas, mais elle savait elle avait jamais été scolarisée, donc elle savait même pas tenir un stylo quoi.",elle avait jamais été,avoir,être,0,1,jamais,never,0,0,0
PFC,83,"maman a jamais voulu que j'en fasse partie, parce qu'il fallait sortir le soir et, si jamais j'avais croisé un garçon en route, eh ben euh, pas question.",jamais j'avais croisé,avoir,croiser,0,1,jamais,never,0,0,0
CFPP,2,enfin j'ai rarement au contraire moi je me disais sans arrêt j'ai rarement approché d'aussi près des gens c'est devenu faux par la suite mais à l'époque j'avais jamais approché d'aussi près une famille qui gagnait autant d'argent,j'avais jamais approché,avoir,approcher,0,1,jamais,never,0,0,0
CFPP,2,exactement et j'ai une copine qui s'est mise à coudre comme ça alors qu'elle avait jamais cousu de sa vie et chaque mois c'est de mieux en mieux et cetera euh voilà,elle avait jamais cousu,avoir,coudre,0,1,jamais,never,0,0,0
CFPP,19,mais des prénoms également que je n'avais jamais entendus de ma vie,je n'avais jamais entendus,avoir,entendre,0,1,jamais,never,0,0,0
CFPP,21,pas très régulièrement ce qui m'a manqué quand j'ai déménagé justement parce que je n'avais jamais déménagé c'est qu'il a fallu que je me recrée des marchands,je n'avais jamais déménagé,avoir,déménager,0,1,jamais,never,0,0,0
CFPP,28,alors que vous vos parents n'avaient jamais surveillé les devoirs,vos parents n'avaient jamais surveillé,avoir,surveiller,0,1,jamais,never,0,0,0
CFPP,33,euh avec un avec un peu de recul je je je crois que on était un peu ben comme on dit le nez dans le guidon finalement donc on voyait pas trop fi- au au niveau des des femmes de la génération de ma mère où même des grand-mères où était vraiment les les le le le problème euh je crois que c'est quelques années plus tard oui où vraiment là on s'était rendu compte de ce que ce qu'avait été la vie de certaines femmes et moi je me suis rendue compte que par exemple ma mère euh elle avait jamais géré son salaire quoi euh qu'elle avait pas de compte en banque mais je pense que ça vraiment c'est quand on a eu peut-être oui à peu près vingt ans quoi dix-huit vingt ans que oui parce que moi j'ai eu la majorité à vingt ans,elle avait jamais géré,avoir,gérer,0,1,jamais,never,0,0,0
CFPP,41,j'y avais jamais pensé comme ça mais ouais c'est vrai que ça y ressemble,j'y avais jamais pensé,avoir,penser,0,1,jamais,never,0,0,0
ESLO,183,des histoires de bizutage il m'en avait jamais parlé il y en a un,il m'en avait jamais parlé,avoir,parler,0,1,jamais,never,0,0,0
ESLO,189,bon ben ils hop ils ont fallu qu'ils se mettent à apprendre le latin ils n'en avaient jamais fait euh,ils n'en avaient jamais fait,avoir,faire,0,1,jamais,never,0,0,0
ESLO,310,j'en ai même dans ma famille qui ne demandaient absolument rien qui ont touché qui ont touché des des des soldes après qui se demandaient d'où que ça venait qui l'avaient jamais demandé,ma famille qui l'avaient jamais demandé,avoir,demander,0,1,jamais,never,0,0,0
ESLO,464,les dix ou douze premières années ou je j'ai été militant ici jamais j'avais vu de manifestation importante euh,jamais j'avais vu,avoir,voir,0,1,jamais,never,0,0,0
ESLO,485,à être musicien alors qu'il avait jamais fait de musique,il avait jamais fait,avoir,faire,0,1,jamais,never,0,0,0
ESLO,640,visiter les châteaux bé j'en avais jamais vu de ma vie,j'en avais jamais vu,avoir,voir,0,1,jamais,never,0,0,0
ESLO,753,si je n'avais jamais travaillé je vois pas bien ce que j'aurais pu faire aller me reclasser à cinquante ans ça si je n'avais eu aucun métier quoi,je n'avais jamais travaillé,avoir,travailler,0,1,jamais,never,0,0,0
ESLO,402,j'avais jamais remarqué qu'il manquait le tome un,j'avais jamais remarqué,avoir,remarquer,0,1,jamais,never,0,0,0
CFPP,33,euh et bien on a toujours un peu ceux-là qui vieillissent euh il y en a d'autres qui sont partis du quartier qui reviennent de temps en temps et puis bon quand même évidemment des nouveaux mais euh il faut quand même bien reconnaître que ils sont plus jeunes donc moins proches du livre hein euh ils ont en général bon pour vivre dans ce quartier il faut quand même beaucoup d'argent parce que des loyers sont très très chers ici euh l'immobilier est très cher dans le quartier il y a un moment euh ils disaient que on avait eu des chiffres je crois qu'il y a il y a quelques années ils avaient dit que l'immobilier avait augmenté d'environ neuf pour cent à Paris et euh sur le quartier vert,il y a quelques années ils avaient dit,avoir,dire,0,1,il y a quelques années,before,0,0,0
PFC,30,"Oui, on avait été voy/ voya/ voyagé avec ma fille euh, en Martinique il y a deux ans.",on avait été il y a deux ans,avoir,être,0,1,il y a deux ans,before,0,0,0
PFC,29,"Comme je suis là je travaille pas donc j'ai que, que la radio quoi! L1} (rires) J'avais écouté hier c'était Leïla ou je sais pas (rires) L2} Oui voilà, oui oui oui j'aime (rires) bien Leïla!",J'avais écouté hier,avoir,écouter,0,1,hier,before,0,0,0
CFPP,15,précaires précaires précaires dans la précarité euh bon donc j'avais été relogée ici entre temps mon il y a eu des différents familiaux c'est assez graves puisque mon mari s'était mis enfin mon le père de mon fils s'est mis à boire donc ça veut dire que il y a eu séparation et je peux dire que moi j'ai un fils qui est né dans le chômage et qui a vécu dans le chômage et dans le RMI avec un parcours,j'avais été relogée ici entre temps,avoir,être reloger,0,1,entre temps,during,0,0,0
CFPP,21,oui alors les propriétaires entre temps avaient changé plusieurs fois et c'était devenu une compagnie d'assurances,les propriétaires entre temps avaient changé,avoir,changer,0,1,entre temps,during,0,0,0
ESLO,183,très bien on l'a eu le devis mais entre temps j'étais partie chercher quelqu'un d'autre,entre temps j'étais partie,être,partir,0,1,entre temps,during,0,0,0
CFPP,10,donc jusqu'à la enfin l'année dernière je les avais inscrits,enfin l'année dernière je les avais inscrits,avoir,inscrire,0,1,enfin,finally,0,0,0
PFC,66,"elle avait continué le métier tout en euh, elle avait juste commencé à apprendre avant. Enfin elle avait continué le métier puis euh.",enfin elle avait continué puis,avoir,continuer,0,1,enfin,finally,0,0,0
CFPP,8,ils avaient invité tout le monde dans l'entrée à amener des gâteaux des boissons ils avaient fait un enfin les les vieux de l'immeuble on va dire,ils avaient fait un enfin,avoir,faire,0,1,enfin,finally,0,0,0
CFPP,3,oui enfin les concours que j'avais passés étaient effectivement sur Paris,enfin les concours que j'avais passés,avoir,passer,0,1,enfin,finally,0,0,0
CFPP,3,euh enfin moi ça m'avait ça m'avait plu oui oui,enfin ça m'avait plu,avoir,plaire,0,1,enfin,finally,0,0,0
CFPP,8,enfin les voisins l'immeuble avait organisé un,enfin l'immeuble avait organisé,avoir,organiser,0,1,enfin,finally,0,0,0
CFPP,8,les anciens pas les vieux avaient fait un petit sapin avaient mis des décos enfin,les anciens avaient mis enfin,avoir,mettre,0,1,enfin,finally,0,0,0
CFPP,9,non parce qu'en fait j'étais à la cantine donc à la enfin à Saint-Ouen et j'étais avec une amie et c'est vrai que enfin à côté on avait des filles de collège qui parlaient et on comprenait rien mais vraiment rien rien rien enfin elles avaient inventé des mots et ben enfin je trouve ça vraiment marrant de voir parce que enfin pour moi dans mon lycée tout le monde parlait enfin normalement on se comprenait et là elles parlaient mais c'était euh indéchiffrable mais enfin je trouve ça marrant que enfin je sais pas j'ai l'impression qu'ils,enfin elles avaient inventé,avoir,inventer,0,1,enfin,finally,0,0,0
CFPP,16,quand est-ce qu'ils avaient été elles avaient été réalisées enfin,ils avaient été enfin,avoir,être,0,1,enfin,finally,0,0,0
CFPP,16,quand est-ce qu'ils avaient été elles avaient été réalisées enfin,elles avaient été enfin,avoir,être,0,1,enfin,finally,0,0,0
CFPP,16,moi j'ai k- en fait la premièr- enfin j'avais je m'étais acheté un vélo quand j'avais dix-sept ans,enfin je m'étais acheté,être,s’acheter,0,1,enfin,finally,0,0,0
CFPP,16,enfin on en avait lu plein dans l'année,enfin on en avait lu,avoir,lire,0,1,enfin,finally,0,0,0
CFPP,16,pff non un quartier qui a pas mal changé mais enfin il avait ça fait,enfin il avait ça fait,avoir,faire,0,1,enfin,finally,0,0,0
CFPP,21,en mille neuf cent soixante et onze mon mari et moi qui nous étions installés ailleurs dans un tout petit appartement qui venions d'avoir enfin nous avions eu deux enfants,enfin nous avions eu,avoir,avoir,0,1,enfin,finally,0,0,0
CFPP,27,enfin je me souviens que ma mère nous aidait enfin m'avait aidée à,ma mère enfin m'avait aidée,avoir,aider,0,1,enfin,finally,0,0,0
CFPP,32,à ce qu'on peut faire moi je me souviens on allait acheter ici enfin on avait visité des maisons ici et on parlait de ça de la préemption,enfin on avait visité,avoir,visiter,0,1,enfin,finally,0,0,0
ESLO,176,enfin j'avais entendu parler de ça mais sans plus donc euh,enfin j'avais entendu,avoir,entendre,0,1,enfin,finally,0,0,0
ESLO,183,on a déniché enfin on avait emporté du Havre une vieille étagère rustique,enfin on avait emporté,avoir,emporter,0,1,enfin,finally,0,0,0
ESLO,253,parce qu'enfin si j'avais accepté c'était de bon coeur,enfin j'avais accepté,avoir,accepter,0,1,enfin,finally,0,0,0
ESLO,309,moi enfin elle m'avait parlé de ça mon mais,enfin elle m'avait parlé,avoir,parler,0,1,enfin,finally,0,0,0
ESLO,310,vous avez dit tout à l'heure que vous l'aviez acheté pour votre fille enfin ?,vous l'aviez acheté enfin,avoir,acheter,0,1,enfin,finally,0,0,0
ESLO,415,enfin elle avait commencé une école d'ingénieurs,enfin elle avait commencé,avoir,commencer,0,1,enfin,finally,0,0,0
ESLO,415,elle avait eu un prof très enfin qui l'avait accrochée,un prof très enfin qui l'avait accrochée,avoir,accrocher,0,1,enfin,finally,0,0,0
ESLO,443,je la mets dans mes oeufs cassés vous voyez je casse mes oeufs et je je mets cette eau de champignon dans mes oeufs alors j'ai fait cuire mes champignons avec de l'ail du persil et puis salez poivrez alors mes oeufs que j'avais cassés euh enfin une quantité soit huit neuf selon le nombre de personnes je les ai battus comme i(l) faut je les ai salés je les ai poivrés et p(u)is alors j'ai remis dans la poêle mes rognons avec mes champignons,j'avais cassés enfin,avoir,casser,0,1,enfin,finally,0,0,0
ESLO,485,il avait mis son plan sous le coude enfin il voulait de l'eau,il avait mis enfin,avoir,mettre,0,1,enfin,finally,0,0,0
ESLO,508,et est-ce que vous vous souvenez quand est-ce qu'on vous l'avait acheté enfin quand est-ce que depuis quand vous l'avez ?,vous l'avait acheté enfin,avoir,acheter,0,1,enfin,finally,0,0,0
ESLO,640,enfin si vous aviez dû choisir un autre métier ?,enfin si vous aviez dû,avoir,devoir,0,1,enfin,finally,0,0,0
ESLO,769,enfin tu l'avais choisi quelque part ou,enfin tu l'avais choisi,avoir,choisir,0,1,enfin,finally,0,0,0
CFPP,30,et encore ils les avaient retapées un peu et encore,encore ils les avaient retapées,avoir,retaper,0,1,encore,again,0,0,0
ESLO,437,mais je l'avais pas encore vue sur le campus,je l'avais pas encore vue,avoir,voir,0,1,encore,again,0,0,0
ESLO,410,en première année de sciences du langage là on avait écouté ça,en première année on avait écouté,avoir,écouter,0,1,en première année,before,0,0,0
PFC,70,"Je l'avais mis en, deuxième position. J'avais préféré euh Montpellier en premier. Et puis ils m'ont pris d'office donc euh,",J'avais préféré en premier,avoir,préférer,0,1,en premier,before,0,0,0
ESLO,183,ben elle l'a eu que deux jours avant j'étais passée il y avait une espèce de de fauteuil comme ça bourré de sur ben c'est chez lui que je l'a- j'avais acheté,deux jours avant j'étais passée,être,passer,0,1,deux jours avant,before,0,0,1
ESLO,183,ben elle l'a eu que deux jours avant j'étais passée il y avait une espèce de de fauteuil comme ça bourré de sur ben c'est chez lui que je l'a- j'avais acheté,j'avais acheté,avoir,acheter,0,1,deux jours avant,before,0,0,0
CFPP,39,c'est entre nous à un moment donné et nous on en avait parlé depuis longtemps parce que c'était même l'ancienne municipalité d'ailleurs à l'époque et euh moi je l'avais demandé à l'ancien maire et à un moment donné il nous avait dit ah oui mais vous savez c'est quand même un coût important donc je lui ai dit oui comme si à Paris il y avait pas énormément de choses qui avaient demandé un coût important et qui avaient pas été faites et qui sont pas toujours très utiles mais j'ai dit nous ça nous sera agréable dans le quartier d'avoir euh parce qu'il faut dire que bon avant qu'on ait cette petite place donc ils ont étendu là la pointe des deux rues euh il y avait quand même un amoncellement par moments de voitures garées là au bout c'était quand même,on en avait parlé depuis longtemps,avoir,parler,0,1,depuis longtemps,during,0,0,0
CFPP,29,oh non non je me suis investi je je je trouvais que tout était intéressant mais depuis le début j'avais fait le choix que ce serait de la science,depuis le début j'avais fait,avoir,faire,0,1,depuis le début,since,0,0,0
PFC,61,"(Depuis) on s'était pas revu et, ça fait un gros pincement au coeur et, je crois que quand on se retrouve une fois il faut garder les liens,",depuis on s'était pas revu,être,se revenir,0,1,depuis,since,0,0,0
ESLO,112,quand j'avais commencé au chantier depuis que j'ai commencé au chantier jusqu'au soir puisque,j'avais commencé,avoir,commencer,0,1,depuis,since,0,0,0
ESLO,112,oui euh c'était pas vous qui étiez venus une fois déjà non ?,vous qui étiez venus une fois déjà,être,venir,0,1,déjà,already,0,0,0
ESLO,267,non non non je savais pas du tout j'avais eu euh vous m'aviez posé déjà un tas de questions euh la dernière fois enfin pas vous mais un un monsieur qui était venu de très gentil d'ailleurs,vous m'aviez posé déjà la dernière fois,avoir,poser,0,1,déjà,already,0,0,0
CFPP,9,déménagé euh à Créteil l'année dernière dans le quatre-vingt-quatorze et sinon on avait déjà déménagé mais dans le onzième sur le boulevard Voltaire,on avait déjà déménagé,avoir,déménager,0,1,déjà,already,0,0,0
